sol,Gamma,DeltaP,Gamma_unc,DeltaP_unc
18,34.621088967302995,0.6955676331909937,1.5778993305496507,0.19982554005776654
18,52.194233337038966,3.6243220421013613,4.120807541120816,0.1460225656578819
18,188.37282061855072,1.7270826356363915,13.779269968856592,0.14213450489769397
18,131.97166984703537,4.98585278279465,25.177653434908255,0.0773329592237874
18,18.82732415105931,1.3775677379237075,1.4461710845071705,0.3549837781996716
18,2.7545880490973156,8.301894096235005,0.3654757620885928,1.3061304246501533
18,27.646043162302906,1.9583778953255822,2.918049107733442,0.18679546250773774
18,121.27047859337898,2.0079071346837636,4.642154810137931,0.04616506307047835
18,229.79059115645444,1.0979318603999761,32.19054405327596,0.5593495204789947
20,14.742638534598258,4.8451882523878105,1.0677131572722105,0.41813581310221043
20,54.266994018276336,3.960585863366429,4.215525692800965,0.2209554386610282
21,3.2467576113875474,3.9437351364497744,0.2054566982115361,8.495181618226573
21,8.602716267272532,11.149987386712551,0.4266532005670422,0.669930542142035
21,76.454041324584,3.0362419911201015,4.503436430766324,0.12597818092970453
21,49.854638407707114,1.2139094169930078,2.4563493785126793,0.06238567974646642
21,68.73369135082898,5.731545899888408,2.327767459265047,0.0377489169426613
22,40.520330937335274,4.753845941650256,3.2132320668969774,0.12531586413524623
28,2.4670663473567687,9.80390220455093,0.16490181722819214,4.963180443290358
28,4.39747451660007,6.638491986649422,0.21843053126509568,1.1679187701341305
28,72.67101567047749,0.7985911416214235,3.6694178628507643,0.1986161528713747
28,19.8327669906865,1.4248643102733773,1.1810272693435369,0.29552772046034737
29,81.34985365604565,0.718816432091095,3.1215428586469485,0.13926855867420304
29,2.000000000006708,24.442464547538002,inf,inf
29,2.000000000006708,1.6600945352236232,0.30600424672634025,1.8729459320666322
29,32.58576975839076,0.4136141433454215,1.6379050367008794,0.10532771655935497
30,126.93142883061088,1.3161059504567816,1.8472610826093174,0.03286934862290464
30,2.000000000006708,4.740155057655966,1.7907932418435422,13.708512581849535
30,2.000000000006708,21.354603492389153,inf,inf
30,2.411158105601778,10.531021432546439,inf,inf
31,44.81528878662173,3.5150847154034723,1.7969555505839974,0.08335489351904035
31,7.688760956897793,5.782591267406423,0.5307709779305161,0.5253503599589081
31,341.5572088399839,1.6549797208016688,14.342031687955405,0.05998662650684622
31,46.335012683606344,0.22399368228016817,4.641497141264573,0.1155800571073505
32,138.6156093191917,4.203427858252544,4.599139487804571,0.10556997012583101
32,4.125169238689909,2.6404208993465454,1.2340599453738381,1.1936188472449436
32,57.55405928332448,32.976546910381416,7.51055966973565,2.0729145475014366
32,24.57497248765231,0.09913077993511038,1.836122777859673,0.015421355955200852
32,19.463955667180766,0.9304312114339663,1.095156152473323,0.06898575962832801
33,29.286795482285573,1.8914108377487686,0.9057452639117319,0.32537849568160215
33,2.9711085877626653,5.616352521219037,0.16344632209249352,3.199746873608759
33,4.345821206923869,1.1860457709021706,0.4948128969097725,1.0257122534863499
33,17.59748565196483,1.7383497094372669,1.610547274254916,0.5394789915441541
34,15.183816986982094,3.8178146836258113,0.36985400369533084,0.9312625284022301
