# sol, vortex, baseline, baseline_unc, slope, slope_unc, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, conv
28, 0, 738.191, 0.0405259, 48.6081, 19.4206, 12.3695, 2.20131e-05, 1.48775, 0.0881534, 2.59509, 0.290522, 20.9833
28, 1, 733.756, 0.0147768, -13.2716, 4.21158, 14.2799, 2.25702e-05, 0.857022, 0.0303653, 4.20713, 0.304774, 17.5676
28, 2, 733.597, 0.0189954, -1.68439, 0.645925, 14.3606, 0.000258742, 0.41845, 0.0196843, 44.4219, 4.47478, 11.3942
28, 3, 737.979, 0.0071058, 3.96196, 0.439562, 12.1381, 5.1459e-05, 0.5722, 0.00918243, 23.4669, 0.821994, 11.0082
17, 0, 723.105, 0.00972252, -0.489189, 0.301281, 16.2986, 9.20638e-05, 0.702297, 0.0105639, 48.7334, 1.587, 13.9328
17, 1, 733.756, 0.0131906, 2.57125, 0.245926, 12.2736, 0.000264214, 0.571312, 0.014664, 81.4562, 4.4383, 11.6243
17, 2, 731.628, 0.0336125, 1.24674, 5.46887, 11.3722, 0.000184311, 0.507322, 0.107173, 6.23519, 2.27514, 10.7384
17, 3, 731.997, 0.0258021, -6.14028, 3.04688, 10.455, 0.000398547, 0.185142, 0.192454, 2.34091, 3.54713, 9.75591
17, 4, 733.516, 0.186482, -12.7054, 4.51442, 12.2688, 0.00102983, 0.293923, 0.183569, 57, 32.0951, 9.72116
17, 5, 733.996, 0.0302585, 12.3378, 4.00126, 12.5356, 0.000200198, 0.492874, 0.0859765, 8.18257, 2.53335, 9.68761
17, 6, 731.635, 0.0208717, 10.5807, 2.73514, 11.4043, 0.000264476, 0.279686, 0.0911904, 5.82111, 3.0637, 7.61162
17, 7, 734.194, 0.0111131, -3.04624, 0.464502, 12.4152, 0.00011448, 0.559186, 0.217772, 2, 1.11576, 7.5148
17, 8, 731.978, 0.137336, 24.1472, 6.63312, 11.4373, 0.000772226, 0.40818, 0.116642, 31.9927, 15.1666, 7.44577
17, 9, 722.994, 0.00400206, -4.02093, 0.398629, 17.8581, 3.8598e-05, 0.367957, 0.00773681, 13.0428, 0.536131, 7.19281
88, 0, 749.982, 0.0135033, -8.13918, 1.66805, 12.0712, 3.78504e-05, 0.904238, 0.0223225, 11.223, 0.552735, 19.2055
44, 0, 745.308, 0.0159346, -4.87676, 0.877219, 12.823, 7.85003e-05, 0.842773, 0.018641, 27.1536, 1.28748, 15.808
44, 1, 737.77, 0.00645803, 0.128832, 0.880165, 15.7185, 2.20032e-05, 0.653236, 0.0101818, 10.3394, 0.324616, 12.2428
44, 2, 745.15, 0.0177212, -13.5051, 2.38309, 13.8211, 6.34534e-05, 0.624968, 0.0275041, 10.4009, 0.934193, 9.70382
44, 3, 741.105, 0.00736927, -9.5484, 1.72715, 11.0415, 2.61623e-05, 0.518657, 0.0436245, 2.49673, 0.333805, 8.30482
