# sol, vortex, baseline, baseline_unc, slope, slope_unc, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, conv
46, 0, 747.41, 0.0153077, -0.437607, 0.482603, 13.1785, 0.000284643, 0.604119, 0.0291108, 41.0418, 3.88834, 13.2518
46, 1, 743.003, 0.0188983, -2.95382, 0.170704, 14.8121, 0.000574112, 0.556657, 0.0182256, 185.866, 11.0602, 8.86087
46, 2, 747.351, 0.0112417, 42.3967, 5.19224, 13.2073, 1.64865e-05, 0.647835, 0.0319474, 2.39047, 0.21313, 8.45425
46, 3, 739.021, 0.0211763, -15.729, 2.45845, 16.2435, 0.000215459, 0.333582, 0.0511065, 10.0035, 2.82114, 8.4467
46, 4, 745.273, 0.00746782, 6.40503, 1.28029, 12.1617, 4.77051e-05, 0.433228, 0.0314918, 4.70512, 0.556518, 7.56115
79, 0, 748.171, 0.00807787, -9.87825, 1.0848, 10.9165, 3.24897e-05, 0.610542, 0.0140112, 10.0608, 0.467177, 14.2927
79, 1, 750.499, 0.00715791, 2.26434, 0.117811, 13.7891, 0.000320752, 0.363553, 0.00967002, 87.9592, 4.97016, 10.8125
79, 2, 748.337, 0.010163, 1.10188, 0.0133469, 12.8566, 4.7302e-05, 0.697316, 0.0215391, 10.7705, 0.66619, 9.93276
79, 3, 747.525, 0.0265721, -4.05788, 2.02213, 11.7686, 0.000173967, 0.376947, 0.0271605, 20.077, 2.977, 8.74133
15, 0, 723.137, 0.0504751, 6.85471, 5.91143, 16.3707, 0.000114122, 0.984904, 0.0684354, 12.2542, 1.83782, 16.0028
15, 1, 723.221, 0.043262, -3.36344, 1.09936, 16.314, 0.000772969, 0.415701, 0.0446681, 60.6367, 13.8169, 7.19132
47, 0, 738.563, 0.0522515, 27.9826, 17.1724, 15.7173, 6.07608e-05, 1.13926, 0.184004, 2.8504, 0.797489, 17.8451
47, 1, 738.487, 0.0160417, 3.0248, 0.279251, 15.8798, 0.000186872, 0.74621, 0.0151251, 89.5566, 3.58905, 15.5785
47, 2, 744.553, 0.00722562, -7.68809, 0.545248, 14.1712, 6.00996e-05, 0.457718, 0.0107284, 18.7992, 0.924847, 10.0471
47, 3, 745.752, 0.0137794, 1.45334, 0.194383, 12.8197, 0.000449925, 0.473547, 0.0154874, 106.327, 7.55266, 10.0292
47, 4, 745.552, 0.0236084, -30.884, 2.31166, 12.8101, 0.000119409, 0.388373, 0.0245802, 15.5413, 2.07868, 9.80188
47, 5, 744.873, 0.0133224, 13.8823, 1.75782, 19.3469, 7.81126e-05, 0.505048, 0.03073, 9.12177, 1.03843, 9.69555
47, 6, 742.223, 0.0119367, 3.14474, 0.19729, 11.2173, 0.000296015, 0.363668, 0.0110489, 92.4425, 5.55297, 9.33286
47, 7, 738.025, 0.0113059, -4.10027, 0.477196, 16.0525, 0.000256304, 0.344189, 0.0200556, 31.8055, 3.6545, 8.45573
47, 8, 745.532, 0.00647752, 2.45698, 0.405157, 12.6544, 0.000144711, 0.271034, 0.0142044, 19.6879, 1.93477, 7.51007
47, 9, 745.075, 0.00834162, 2.27217, 0.500598, 12.4474, 0.000166412, 0.242757, 0.0125779, 23.4154, 2.528, 7.27566
78, 0, 747.41, 0.0931293, -7.03846, 10.1078, 12.0035, 0.000110958, 1.88952, 0.115853, 13.5289, 1.76946, 45.0801
78, 1, 747.796, 0.0114255, 3.00675, 0.816982, 12.5989, 6.18878e-05, 0.556009, 0.0127376, 20.9994, 1.03819, 9.7716
78, 2, 751.177, 0.00693141, 1.34056, 0.0802952, 14.8294, 0.000366041, 0.410087, 0.0087824, 126.305, 5.83224, 8.31572
78, 3, 750.067, 0.00912652, -2.00849, 0.765606, 10.7192, 7.51813e-05, 0.410513, 0.0131708, 17.0257, 1.13786, 7.36699
76, 0, 748.84, 0.00826401, -3.68819, 1.45123, 10.4208, 1.78983e-05, 0.741544, 0.0118826, 8.06991, 0.270876, 14.4604
76, 1, 749.063, 0.0126263, 1.79918, 0.517456, 14.2839, 0.000186976, 0.361483, 0.0143266, 36.6803, 3.13333, 8.69665
76, 2, 748.881, 0.0117276, 5.50538, 0.790428, 14.2047, 0.000225585, 0.299691, 0.0279641, 17.5257, 3.05325, 8.22046
76, 3, 745.491, 0.00569911, 2.24629, 0.143625, 11.8897, 0.000196162, 0.414155, 0.011393, 50.3771, 2.68436, 7.92148
76, 4, 747.02, 0.0289718, 5.46736, 18.2524, 10.7817, 3.49032e-05, 0.634844, 0.0609874, 2, 0.332294, 7.05491
82, 0, 748.95, 0.668255, 37.0916, 130.756, 12.0778, 0.000159522, 5.73019, 0.936916, 7.20716, 2.4283, 131.832
82, 1, 753.782, 0.0166394, 11.7965, 5.35253, 10.6237, 3.14829e-05, 0.715905, 0.0565603, 2.95458, 0.403493, 13.1926
82, 2, 753.373, 0.00791777, 4.49483, 1.06854, 14.7231, 6.26167e-05, 0.333155, 0.0153787, 9.62392, 0.871898, 8.5999
49, 0, 744.862, 0.00878016, 10.926, 1.71068, 12.5098, 1.90876e-05, 0.848634, 0.0175369, 6.55239, 0.263532, 15.5483
49, 1, 739.025, 0.0104699, 1.91249, 0.1353, 17.0127, 0.000241383, 0.730289, 0.0117604, 115.584, 4.05097, 11.2138
49, 2, 739.648, 0.0062108, -3.29224, 0.354424, 15.5548, 9.02546e-05, 0.457743, 0.0137231, 21.5713, 1.20617, 9.79209
49, 3, 746.427, 0.0100003, -2.25008, 0.341661, 13.31, 0.000190116, 0.373482, 0.012589, 42.4045, 3.05676, 8.5409
49, 4, 738.524, 0.0670586, -25.2609, 20.0063, 17.0039, 0.000169147, 0.128667, 0.0601546, 4.95851, 3.76578, 8.3206
49, 5, 738.49, 0.0177044, 1.50413, 9.10416, 17.0254, 0.000121936, 0.105637, 0.0553899, 2, 1.96327, 7.95936
49, 6, 740.209, 0.0288608, -0.407524, 1.42307, 15.4386, 0.000294069, 0.360584, 0.0290572, 30.8761, 5.31331, 7.47533
85, 0, 753.478, 0.101318, 49.8445, 38.5404, 15.5834, 4.21543e-05, 2.29611, 0.199454, 3.41202, 0.570201, 43.1099
85, 1, 750.69, 0.0328978, -0.40718, 1.72112, 11.7397, 8.9311e-05, 1.61588, 0.0389044, 28.4457, 1.47292, 40.6762
85, 2, 752.078, 0.0102641, 11.4475, 1.5107, 13.9305, 4.11248e-05, 0.580076, 0.0187995, 9.01362, 0.582059, 14.1863
85, 3, 753.31, 0.0115876, -1.79542, 0.981854, 15.395, 9.84821e-05, 0.440499, 0.0193571, 16.1574, 1.42425, 11.9152
85, 4, 750.754, 0.0068343, 9.18478, 0.374943, 11.8839, 0.000112614, 0.462945, 0.019936, 19.0398, 1.44822, 11.8024
85, 5, 750.913, 0.0048757, 0.0430879, 0.141933, 11.3939, 0.000234421, 0.32012, 0.0165457, 32.8135, 2.88529, 8.44773
85, 6, 751.623, 0.0105498, -1.17989, 0.19048, 13.7222, 0.000256453, 0.415608, 0.0106167, 84.201, 4.55948, 7.67888
71, 0, 744.443, 0.0139277, 3.88765, 0.403234, 11.9195, 0.000219348, 0.598773, 0.0190807, 49.7158, 3.36659, 16.2504
71, 1, 747.726, 0.0167876, 6.80882, 4.44951, 14.5197, 2.88677e-05, 0.868865, 0.041632, 4.38633, 0.369146, 16.08
71, 2, 746.261, 0.0149285, 23.3754, 2.23402, 12.9647, 4.90451e-05, 0.70821, 0.0282183, 8.74012, 0.687636, 15.3868
71, 3, 744.388, 0.0117489, 1.42234, 0.790217, 11.6334, 0.000108898, 0.540553, 0.0209262, 19.7646, 1.55652, 12.2874
71, 4, 747.204, 0.00652884, -0.756369, 0.0882155, 15.2246, 0.000277527, 0.392417, 0.00755473, 109.84, 4.57741, 7.64996
71, 5, 745.098, 0.00609336, 1.50347, 0.0831569, 12.4458, 0.000316428, 0.286955, 0.00653141, 110.1, 5.43207, 7.30557
